JetBrains.ReSharper.Daemon.CSharp.dll	JetBrains.ReSharper.Daemon.CSharp.Resources.Strings	3853	1	JetBrains	ui	0
Microsoft.CodeAnalysis.CSharp.dll	Microsoft.CodeAnalysis.CSharp.CSharpResources	2624	0	third-party	third-party	0
JetBrains.ReSharper.Intentions.CSharp.dll	JetBrains.ReSharper.Intentions.CSharp.Resources.Strings	2204	1	JetBrains	ui	0
Microsoft.CodeAnalysis.VisualBasic.dll	Microsoft.CodeAnalysis.VisualBasic.VBResources	1811	0	third-party	third-party	0
JetBrains.ReSharper.Feature.Services.dll	JetBrains.ReSharper.Feature.Services.Resources.Strings	1645	1	JetBrains	ui	0
JetBrains.dotMemory.Resources.dll	JetBrains.dotMemory.Resources.TextResources	1350	1	JetBrains	ui	0
JetBrains.ReSharper.Daemon.Web.dll	JetBrains.ReSharper.Daemon.Resources.Strings10	1260	1	JetBrains	ui	0
Microsoft.CodeAnalysis.Features.dll	Microsoft.CodeAnalysis.FeaturesResources	945	0	third-party	third-party	0
JetBrains.ReSharper.Psi.Web.dll	JetBrains.ReSharper.Psi.Src.Asp.Resources.Sharepoint.ResourceFiles.VSRV	895	0	JetBrains	data/legal	0
JetBrains.ReSharper.NewRefactorings.dll	JetBrains.ReSharper.Refactorings.Resources.Strings	811	1	JetBrains	ui	0
JetBrains.ReSharper.Intentions.Web.dll	JetBrains.ReSharper.Intentions.Web.Resources.Strings	701	1	JetBrains	ui	0
JetBrains.Platform.Shell.dll	JetBrains.Application.Resources.Strings	652	1	JetBrains	ui	0
JetBrains.DotTrace.DataStructures.dll	JetBrains.DotTrace.DataStructures.Resources.UIResources	591	1	JetBrains	ui	0
JetBrains.ReSharper.Psi.Web.dll	JetBrains.ReSharper.Psi.Src.Asp.Resources.Sharepoint.ResourceFiles.dlcpolicy	588	0	JetBrains	data/legal	0
JetBrains.ReSharper.Psi.CSharp.dll	JetBrains.ReSharper.Psi.CSharp.Resources.Strings	583	1	JetBrains	ui	0
JetBrains.ReSharper.Plugins.Unity.dll	JetBrains.ReSharper.Plugins.Unity.Resources.Strings	577	1	JetBrains	ui	0
JetBrains.ReSharper.Psi.Web.dll	JetBrains.ReSharper.Psi.Resources.Strings12	426	1	JetBrains	ui	0
JetBrains.ReSharper.Daemon.VB.dll	JetBrains.ReSharper.Daemon.VB.Resources.LocalizedStrings	398	1	JetBrains	ui	0
JetBrains.Platform.UIInteractive.Shell.dll	JetBrains.UI.Resources.Strings	364	1	JetBrains	ui	0
JetBrains.PsiFeatures.UIInteractive.Features.dll	JetBrains.PsiFeatures.UIInteractive.Features.Resources.Strings	363	1	JetBrains	ui	0
JetBrains.Profiler.dll	JetBrains.Profiler.Resources.UITexts	327	1	JetBrains	ui	0
JetBrains.ReSharper.UnitTestFramework.dll	JetBrains.ReSharper.UnitTestFramework.Resources.Strings	327	1	JetBrains	ui	0
Microsoft.CodeAnalysis.VisualBasic.Features.dll	Microsoft.CodeAnalysis.VisualBasic.VBFeaturesResources	326	0	third-party	third-party	0
JetBrains.DPA.Core.dll	DPA.Core.Resources.Strings	322	1	JetBrains	ui	0
JetBrains.dotCover.Resources.dll	JetBrains.dotCover.Resources.Strings	321	1	JetBrains	ui	0
JetBrains.ReSharper.Psi.dll	JetBrains.ReSharper.Psi.Resources.Strings	317	1	JetBrains	ui	0
JetBrains.ReSharper.Features.Navigation.dll	JetBrains.ReSharper.Features.Navigation.Resources.Strings	305	1	JetBrains	ui	0
JetBrains.ReSharper.Refactorings.CSharp.dll	JetBrains.ReSharper.Refactorings.CSharp.Resources.Strings	298	1	JetBrains	ui	0
NuGet.Commands.dll	NuGet.Commands.Strings	290	0	third-party	third-party	0
JetBrains.ReSharper.Features.Web.dll	JetBrains.ReSharper.Features.Web.Resources.Strings	284	1	JetBrains	ui	0
JetBrains.ReSharper.ExternalSources.dll	JetBrains.ReSharper.ExternalSources.Resources.Strings	277	1	JetBrains	ui	0
JetBrains.ReSharper.Feature.Services.CSharp.dll	JetBrains.ReSharper.Feature.Services.CSharp.Resources.Strings	269	1	JetBrains	ui	0
JetBrains.ReSharper.Daemon.Xaml.dll	JetBrains.ReSharper.Daemon.Xaml.Resources.Strings	249	1	JetBrains	ui	0
JetBrains.ReSharper.Psi.Web.dll	JetBrains.ReSharper.Psi.Src.Asp.Resources.Sharepoint.ResourceFiles.dlcdm	249	0	JetBrains	data/legal	0
ActiproSoftware.SyntaxEditor.Wpf.dll	ActiproSoftware.Products.SyntaxEditor.Resources	246	0	third-party	third-party	0
JetBrains.Platform.ProjectModel.dll	JetBrains.ProjectModel.Resources.Strings	244	1	JetBrains	ui	0
JetBrains.ReSharper.Features.Altering.dll	JetBrains.ReSharper.Features.Altering.Resources.Strings	238	1	JetBrains	ui	0
JetBrains.ReSharper.ExternalServices.DataGrip.dll	JetBrains.ReSharper.ExternalServices.DataGrip.Resources.Strings	233	1	JetBrains	ui	0
JetBrains.ReSharper.Daemon.dll	JetBrains.ReSharper.Daemon.Resources.Strings3	224	1	JetBrains	ui	0
JetBrains.ReSharper.Features.Intellisense.dll	JetBrains.ReSharper.Features.Intellisense.Resources.Strings	224	1	JetBrains	ui	0
NuGet.Packaging.dll	NuGet.Packaging.Strings	216	0	third-party	third-party	0
JetBrains.ReSharper.LiveTemplates.dll	JetBrains.ReSharper.LiveTemplates.Resources.Strings	214	1	JetBrains	ui	0
JetBrains.ReSharper.Intentions.dll	JetBrains.ReSharper.Intentions.Resources.Strings	211	1	JetBrains	ui	0
JetBrains.ReSharper.Psi.Web.dll	JetBrains.ReSharper.Psi.Src.Asp.Resources.Sharepoint.ResourceFiles.PpsAdminUIStrings	210	0	JetBrains	data/legal	0
JetBrains.ReSharper.Features.Inspections.dll	JetBrains.ReSharper.Features.Inspections.Resources.Strings	207	1	JetBrains	ui	0
